ScientificName,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,CommonName
Anemone richardsonii,,,,,,,,,,FAC,Yellow Thimbleweed
Anemone virginiana,FACU,,,FACU,FACU,,FACU,FACU,FACU,,Tall Thimbleweed
Anemopsis californica,,OBL,,,FACW,,,,OBL,,Yerba-Mansa
Angadenia berteroi,FACW,,,,,,,,,,Pineland-Golden-Trumpet
Angelica ampla,,FACW,,,FACW,,,,FACW,,Giant Angelica
Angelica arguta,,FACW,,,,,,,FACW,,Lyall's Angelica
Angelica atropurpurea,OBL,,,OBL,,,OBL,OBL,,,Purple-Stem Angelica
Angelica dawsonii,,FACW,,,,,,,FACW,,Dawson's Angelica
Angelica genuflexa,,FACW,,,,,,,FACW,FACW,Kneeling Angelica
Angelica kingii,,FACW,,,,,,,FACW,,Basin Angelica
Angelica lucida,,FAC,,FAC,,,,FAC,FAC,FACU,Seacoast Angelica
Angelica pinnata,,FACW,,,FACW,,,,FACW,,Small-Leaf Angelica
Angiopteris evecta,,,,,,FAC,,,,,Mule's-Foot Fern
Aniba bracteata,,,FAC,,,,,,,,Canelillo
Aniseia martinicensis,FAC,,OBL,,,,,,,,Whitejacket
Annona glabra,OBL,,OBL,,,OBL,,,,,Pond-Apple
Annona muricata,,,UPL,,,UPL,,,,,Soursop
Anoda cristata,FAC,FAC,UPL,UPL,FAC,,FAC,FAC,FAC,,Crested Anoda
Anoectochilus sandvicensis,,,,,,FACW,,,,,Hawaii Jeweled Orchid
Antennaria alpina,,FACU,,,,,,,FACU,FACU,Alpine Pussytoes
Antennaria arcuata,,FACW,,,,,,,FACW,,Meadow Pussytoes
Antennaria corymbosa,,FAC,,,,,,,FAC,,Flat-Top Pussytoes
Antennaria media,,FAC,,,,,,,FAC,,Rocky Mountain Pussytoes
Antennaria neglecta,UPL,FACU,,UPL,FACU,,UPL,UPL,FACU,,Field Pussytoes
Antennaria pulchella,,FAC,,,,,,,FAC,,Sierran Pussytoes
Antennaria pulcherrima,,FACU,,,,,,,FAC,FAC,Showy Pussytoes
Antennaria umbrinella,,FACU,,,FACU,,,,FACU,,Brown-Bract Pussytoes
Anthemis cotula,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Stinking Chamomile
Anthenantia rufa,FACW,,,FACU,FACU,,,,,,Purple Silkyscale
Anthoxanthum arcticum,,,,,,,,,,FACW,Arctic Sweet Vernal Grass
Anthoxanthum hirtum,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,FACW,Northern Sweet Vernal Grass
Anthoxanthum odoratum,FACU,FAC,,FACU,FAC,UPL,FACU,FACU,FACU,FACU,Large Sweet Vernal Grass
Anthurium dominicense,,,FAC,,,,,,,,Lengua-de-Vaca
Anticlea elegans,,FACU,,FAC,FACW,,FAC,FACW,FACU,FACU,Mountain False Deathcamas
Anticlea occidentalis,,FACW,,,FACW,,,,FAC,,Western False Deathcamas
Anticlea vaginata,,FAC,,,,,,,FAC,,Sheathed False Deathcamas
Anticlea virescens,,FACU,,,FAC,,,,FAC,,Green False Deathcamas
Antidesma platyphyllum,,,,,,FACU,,,,,Ha'a
Antigonon leptopus,FAC,FAC,UPL,FACU,FAC,FACU,,,,,Queen's-Jewels
Antirhea obtusifolia,,,FACW,,,,,,,,Quina-Roja
Aphragmus eschscholtzianus,,,,,,,,,,FACW,Aleutian-Cress
Apiastrum angustifolium,,UPL,,,,,,,FACU,,Mock Parsley
Apios americana,FACW,,,FACW,FAC,,FACW,FACW,FACW,,Groundnut
Apios priceana,FACU,,,FACU,,,FACU,,,,Traveler's Delight
Aplectrum hyemale,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,,Adam-and-Eve
Apocynum androsaemifolium,UPL,UPL,,FACU,UPL,,UPL,UPL,FACU,UPL,Spreading Dogbane
Apocynum cannabinum,FACU,FAC,,FACU,FAC,,FAC,FAC,FAC,,Indian-Hemp
Aponogeton distachyos,,OBL,,,,,,,OBL,,Cape-Pondweed
Apteria aphylla,FACW,,FAC,,,,,,,,Nodding-Nixie
Aquilegia caerulea,,FACU,,,,,,,FAC,,Colorado Blue Columbine
Aquilegia canadensis,FACU,,,FAC,FAC,,FACU,FACU,FAC,,Red Columbine
Aquilegia chrysantha,,FAC,,,FACW,,,,FAC,,Golden Columbine
Aquilegia eximia,,OBL,,,,,,,OBL,,Van Houtte's Columbine
Aquilegia formosa,,FAC,,,,,,,FAC,FACU,Crimson Columbine
Aquilegia longissima,,FACW,,,FACW,,,,,,Long-Spur Columbine
Arabidopsis lyrata,FACU,FACU,,FACU,,,FACU,FACU,FACU,FACU,Lyre-Leaf Thalecress
Arabis alpina,FAC,,,FAC,,,FAC,FAC,FAC,,Alpine Eared Rockcress
Arabis crucisetosa,,FAC,,,,,,,FAC,,Cross-Hair Eared Rockcress
Arabis eschscholtziana,,FACU,,,FACU,,FACU,FACU,FACU,FACU,Pacific-Coast Eared Rockcress
Arabis pycnocarpa,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Hairy Eared Rockcress
Arachniodes insularis,,,,,,FACU,,,,,Santa Cruz Island Holly Fern
Aralia californica,,FACW,,,,,,,FAC,,California Spikenard
Aralia nudicaulis,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Wild Sarsaparilla
Aralia racemosa,FACU,FAC,,FACU,FACU,,FACU,FACU,FAC,,American Spikenard
Aralia spinosa,FAC,,,FAC,FACU,,FACW,FAC,,,Devil's-Walkingstick
Arctagrostis latifolia,,,,,,,,,,FACW,Broad-Leaf Arctic-Bent
Arctanthemum arcticum,,,,,,,,OBL,,FACW,Arctic Daisy
Arctium minus,UPL,FACU,,FACU,FACU,,FACU,FACU,UPL,,Lesser Burrdock
Arctophila fulva,,,,,,,,,,OBL,Pendant Grass
Arctostaphylos uva-ursi,UPL,FACU,,UPL,UPL,,UPL,UPL,FACU,UPL,Red Bearberry
Arctous alpinus,,,,,,,,FAC,,FACU,Black Torpedoberry
Arctous ruber,,FAC,,,,,,,FAC,FAC,Red Torpedoberry
Ardisia crenata,FAC,,,,,FACU,,,,,Hen's-Eyes
Ardisia elliptica,FAC,,UPL,,,FACU,,,,,Shoebutton
Ardisia glauciflora,,,OBL,,,,,,,,Ausubon
Ardisia luquillensis,,,FAC,,,,,,,,Mountain Marl-Berry
Areca catechu,,,,,,FAC,,,,,_?_
Arenaria lanuginosa,FAC,FACU,,FAC,FACU,,,,FACU,,Spreading Sandwort
Arenaria paludicola,,OBL,,,,,,,OBL,,Marsh Sandwort
Arenaria serpyllifolia,UPL,FACU,,FAC,FACU,UPL,FAC,FAC,FACU,,Thyme-Leaf Sandwort
Arethusa bulbosa,OBL,,,OBL,OBL,,OBL,OBL,,,Dragon's-Mouth
Argusia gnaphalodes,FACU,,FACU,,,,,,,,Sea-Rosemary
Argyroxiphium caliginis,,,,,,OBL,,,,,Eke Silversword
Argyroxiphium grayanum,,,,,,OBL,,,,,Maui Greensword
Argyroxiphium kauense,,,,,,FACW,,,,,Kau Silversword
Arida arizonica,,FACU,,,,,,,FACU,,Common Desert Tansy-Aster
Arida carnosa,,OBL,,,,,,,OBL,,Shrubby Alkali Desert Tansy-Aster
Arisaema dracontium,FACW,,,FACW,FACW,,FACW,FACW,,,Greendragon
Arisaema triphyllum,FACW,,,FACW,FAC,,FACW,FAC,,,Jack-in-the-Pulpit
Aristea gerrardii,,,,,,FACU,,,,,Gerrard's Aristea
Aristida beyrichiana,FAC,,,UPL,,,,,,,Beyrich's Three-Awn
Aristida dichotoma,FACU,FACU,,UPL,FACU,,FACU,FACU,UPL,,Church-Mouse Three-Awn
Aristida longespica,FACU,,,UPL,FACU,,FACU,FACU,,,Red Three-Awn
Aristida palustris,FACW,,,,,,,,,,Three-Awn
Aristida patula,FAC,,,,,,,,,,Tall Three-Awn
Aristida purpurascens,UPL,,,FAC,UPL,,FACU,UPL,,,Arrow-Feather Three-Awn
Aristida rhizomophora,FACW,,,,,,,,,,Florida Three-Awn
Aristida simpliciflora,FAC,,,,,,,,,,Southern Three-Awn
Aristida spiciformis,FAC,,FACU,FAC,FAC,,,,,,Bottlebrush Three-Awn
Aristida stricta,FAC,,,FAC,,,,,,,Pineland Three-Awn
Aristolochia elegans,UPL,,UPL,,,FACU,,,,,Elegant Dutchman's-Pipe
Aristolochia trilobata,,,FACW,,,,,,,,Bejuco-de-Santiago
Arivela viscosa,UPL,,FACU,UPL,,,,FACU,,,Tickweed
Armeria maritima,,FACU,,FACU,,,,FACU,FAC,FACU,Sea Thrift
Arnica acaulis,UPL,,,FACU,,,,,,,Common Leopardbane
Arnica chamissonis,,FACW,,,FACW,,,,FACW,FACW,Leafy Leopardbane
Arnica fulgens,,FACU,,,UPL,,,,UPL,,Shining Leopardbane
Arnica lanceolata,,FACW,,,FAC,,,FAC,FACW,FAC,Lance-Leaf Leopardbane
Arnica latifolia,,FAC,,,FAC,,,,FAC,FAC,Daffodil Leopardbane
Arnica longifolia,,FACW,,,FACW,,,,FACW,,Spear-Leaf Leopardbane
Arnica mollis,,FAC,,,FAC,,,FAC,FAC,FACW,Cordilleran Leopardbane
Arnica ovata,,FACW,,,FACW,,,,FACW,FACW,Sticky-Leaf Leopardbane
Arnoglossum diversifolium,FACW,,,,,,,,,,Variable-Leaf Indian-Plantain
Arnoglossum ovatum,FACW,,,FAC,FAC,,,,,,Egg-Leaf Indian-Plantain
Arnoglossum plantagineum,FACU,,,FACW,FAC,,FAC,FAC,,,Groove-Stem Indian-Plantain
Arnoglossum sulcatum,OBL,,,,,,,,,,Georgia Indian-Plantain
Aronia arbutifolia,FACW,,,FACW,FACW,,FACW,FACW,,,Red Chokeberry
Aronia melanocarpa,FAC,,,FAC,OBL,,FACW,FAC,FACW,,Black Chokeberry
Aronia prunifolia,FACW,,,FACW,,,FACW,FACW,,,Purple Chokeberry
Arrhenatherum elatius,FACU,UPL,,FACU,FACU,UPL,FACU,FACU,UPL,UPL,Tall Oat Grass
Artemisia annua,FACU,UPL,,FACU,FACU,,FACU,FACU,UPL,,Annual Wormwood
Artemisia biennis,FACU,FACW,,FACU,FACU,,FACW,FACW,FACW,FAC,Biennial Wormwood
Artemisia campestris,UPL,UPL,,UPL,UPL,,UPL,UPL,FACU,UPL,Pacific Wormwood
Artemisia cana,,FACU,,,FACU,,FACU,,FACU,FACU,Coaltown Sagebrush
Artemisia douglasiana,,FAC,,,,,,,FACW,,Douglas' Wormwood
Artemisia dracunculus,,FACU,,,,,,,FACU,,Chicken-Sage
Artemisia ludoviciana,UPL,FACU,,UPL,UPL,,UPL,UPL,FACU,FACU,White Sagebrush
Artemisia norvegica,,FACU,,,FACW,,,,FACU,FACU,Boreal Sagebrush
Artemisia papposa,,FACU,,,,,,,FACU,,Fuzzy Sagebrush
Artemisia potentilloides,,FAC,,,,,,,FAC,,Five-Finger Chicken-Sage
Artemisia stelleriana,FACU,,,FACU,,UPL,FACU,FACU,FACU,UPL,Oldwoman
Artemisia suksdorfii,,FACU,,,,,,,FACU,,Coastal Wormwood
Artemisia tilesii,,FACU,,,FACU,,,,FACU,FACU,Tilesius' Wormwood
Artemisia vulgaris,UPL,UPL,,UPL,UPL,FACU,UPL,UPL,UPL,UPL,Common Wormwood
Arthraxon hispidus,FAC,,,FAC,FACU,FACU,FACW,FACW,FAC,,Small Carp Grass
Arthrocnemum subterminale,,FACW,,,,,,,OBL,,Parish's Glasswort
Arthrostemma ciliatum,,,,,,FAC,,,,,Pinkfringe
Arthrostylidium multispicatum,,,FAC,,,,,,,,Woodland Climbing Bamboo
Arthrostylidium sarmentosum,,,FAC,,,,,,,,Forest Climbing Bamboo
Aruncus dioicus,FACU,FACU,,FACU,,,FACU,FACU,FACU,UPL,Bride's-Feathers
Arundina graminifolia,,,FACU,,,FACU,,,,,Bamboo Orchid
Arundinaria gigantea,FACW,,,FACW,FACW,,FACW,,,,Giant Cane
Arundinaria tecta,FACW,,,FACW,,,,FACW,,,Switch Cane
Arundo donax,FAC,FACW,FAC,FACU,FAC,FAC,FACW,,FACW,,Giant-Reed
Asarum canadense,UPL,,,FACU,FACU,,FACU,UPL,,,Canadian Wild Ginger
Asarum caudatum,,FAC,,,,,,,FACU,,Long-Tail Wild Ginger
Asarum lemmonii,,OBL,,,,,,,OBL,,Lemmon's Wild Ginger
Asclepias connivens,OBL,,,,,,,,,,Large-Flower Milkweed
Asclepias curassavica,FAC,FAC,FACU,FAC,FAC,UPL,,,,,Bloodflower
Asclepias exaltata,UPL,,,FACU,FAC,,UPL,UPL,,,Poke Milkweed
Asclepias fascicularis,,FAC,,,,,,,FAC,,Narrow-Leaf Milkweed
Asclepias incarnata,OBL,OBL,,OBL,FACW,,OBL,OBL,OBL,,Swamp Milkweed
Asclepias lanceolata,OBL,,,OBL,,,,,,,Few-Flower Milkweed
Asclepias longifolia,FAC,,,FAC,FAC,,UPL,UPL,,,Long-Leaf Milkweed
Asclepias meadii,,,,FACU,,,,FACU,,,Mead's Milkweed
Asclepias michauxii,FAC,,,FAC,,,,,,,Michaux's Milkweed
Asclepias oenotheroides,FACU,FACU,,,FACU,,,,FACU,,Zizotes Milkweed
Asclepias pedicellata,FACW,,,,,,,,,,Savannah Milkweed
Asclepias perennis,OBL,,,OBL,OBL,,OBL,OBL,,,Aquatic Milkweed
Asclepias prostrata,,,,,FAC,,,,,,Prostrate Milkweed
Asclepias pumila,,UPL,,,UPL,,FACU,,UPL,,Low Milkweed
Asclepias purpurascens,FACU,,,FACU,FACU,,FACU,FACU,,,Purple Milkweed
Asclepias rubra,OBL,,,OBL,OBL,,,OBL,,,Red Milkweed
Asclepias speciosa,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,,Showy Milkweed
Asclepias subverticillata,FACU,FACU,,,FACU,,FACU,,UPL,,Horsetail Milkweed
Asclepias sullivantii,,,,FAC,FAC,,FAC,FAC,,,Prairie Milkweed
Asclepias syriaca,UPL,FACU,,FACU,UPL,,FACU,UPL,FACU,,Common Milkweed
Asclepias texana,,FACU,,,FACU,,,,,,Texas Milkweed
Asclepias variegata,FACU,,,FACU,FACU,,FACU,FACU,,,Red-Ring Milkweed
Asclepias verticillata,FACU,FACU,,FACU,FACU,,FACU,UPL,FACU,,Whorled Milkweed
Asclepias viridula,FACW,,,FACW,,,,,,,Southern Milkweed
Asimina parviflora,FACU,,,UPL,FAC,,,,,,Small-Flower Pawpaw
Asimina pygmea,FACU,,,,,,,,,,Dwarf Pawpaw
Asimina reticulata,FACU,,,,,,,,,,Netted Pawpaw
Asimina triloba,FAC,,,FAC,FACU,,FAC,FAC,,,Common Pawpaw
Asparagus officinalis,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Asparagus
Asperugo procumbens,UPL,UPL,,UPL,UPL,,UPL,FACU,UPL,UPL,German-Madwort
Asplenium X flagrum,,,,,,FACU,,,,,_?_
Asplenium X kokeense,,,,,,FACU,,,,,_?_
Asplenium X sphenocookii,,,,,,FACU,,,,,_?_
Asplenium X waikomoi,,,,,,FACU,,,,,_?_
Asplenium abscissum,FACW,,FACW,FACW,,,,,,,Cut-Leaf Spleenwort
Asplenium acuminatum,,,,,,FACU,,,,,Taper-Tip Spleenwort
Asplenium adiantum-nigrum,,FACU,,,FACU,FACU,,,FACU,,Black Spleenwort
Asplenium aethiopicum,,,,,,FACU,,,,,Mexican Spleenwort
Asplenium auriculatum,,,FAC,,,,,,,,Tree-Trunk Spleenwort
Asplenium contiguum,,,,,,FACU,,,,,Forest Spleenwort
Asplenium cristatum,FAC,,FAC,,,,,,,,Parsley Spleenwort
Asplenium dentatum,FACU,,UPL,,,,,,,,Toothed Spleenwort
Asplenium excisum,,,,,,FACU,,,,,One-Sided Spleenwort
Asplenium formosum,,,FACW,,,,,,,,Showy Spleenwort
Asplenium heterochroum,FAC,,UPL,,,,,,,,Bicolored Spleenwort
Asplenium hobdyi,,,,,,FACU,,,,,Hobdy's Spleenwort
Asplenium horridum,,,,,,FACU,,,,,Lacy Spleenwort
Asplenium insiticium,,,UPL,,,FACU,,,,,Royal Spleenwort
Asplenium juglandifolium,,,FAC,,,,,,,,Walnut Spleenwort
Asplenium laetum,,,FACW,,,,,,,,Brown-Stem Spleenwort
Asplenium lobulatum,,,,,,FACU,,,,,Piipiilau Manamana
Asplenium macraei,,,,,,FACU,,,,,Macrae's Spleenwort
Asplenium normale,,,,,,FACU,,,,,Rain-Forest Spleenwort
Asplenium obtusifolium,,,OBL,,,,,,,,Blunt-Leaf Spleenwort
Asplenium ocoense,,,FAC,,,,,,,,Rockledge Spleenwort
Asplenium platyneuron,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Ebony Spleenwort
Asplenium polyodon,,,,,,FACU,,,,,Birdnest Fern
Asplenium pteropus,,,FACU,,,,,,,,West Indian Spleenwort
Asplenium pumilum,FAC,,UPL,,,,,,,,Dwarf Spleenwort
Asplenium schizophyllum,,,,,,FACU,,,,,Fringed Spleenwort
Asplenium scolopendrium,,,,FACU,,,,UPL,,,Hart's Tonguefern
Asplenium sphenotomum,,,,,,FACU,,,,,_?_
Asplenium trichomanes,FAC,FAC,,FAC,FAC,UPL,UPL,UPL,FAC,FAC,Maidenhair Spleenwort
Asplenium unilaterale,,,,,,FACU,,,,,Pamohe
Asplenium uniseriale,,,FAC,,,,,,,,Shiny-Stem Spleenwort
Astelia menziesiana,,,,,,FACW,,,,,Pua'akuhinia
Astelia waialealae,,,,,,OBL,,,,,Kauai Pa'iniu
Astilbe biternata,,,,FACU,,,,,,,Appalachian False Goat's-Beard
Astragalus agrestis,,FAC,,,FACU,,FACW,FACW,FACW,,Cock's-Head
Astragalus alpinus,,FAC,,,FAC,,,FAC,FACU,FAC,Alpine Milk-Vetch
Astragalus americanus,,FAC,,,FAC,,,,FAC,FAC,American Milk-Vetch
Astragalus argophyllus,,FACW,,,FACW,,,,FACW,,Silver-Leaf Milk-Vetch
Astragalus bodinii,,FACW,,,FAC,,,,FACW,FAC,Bodin's Milk-Vetch
Astragalus canadensis,FAC,FAC,,FAC,FAC,,FAC,FAC,FACW,,Canadian Milk-Vetch
Astragalus clevelandii,,FAC,,,,,,,FACW,,Cleveland's Milk-Vetch
Astragalus diaphanus,,FACU,,,,,,,FACU,,Transparent Milk-Vetch
Astragalus diphysus,UPL,UPL,,,UPL,,,,FACU,,Speckle-Pod Milk-Vetch
Astragalus diversifolius,,FAC,,,,,,,,,Meadow Milkvetch
Astragalus eucosmus,,FACU,,,FACU,,,FACU,FACU,UPL,Elegant Milk-Vetch
Astragalus hornii,,FAC,,,,,,,FAC,,Horn's Milk-Vetch
Astragalus lemmonii,,FACW,,,,,,,FACW,,Lemmon's Milk-Vetch
Astragalus lentiginosus,,UPL,,,FACU,,,,UPL,,Freckled Milk-Vetch
Astragalus leptaleus,,OBL,,,OBL,,,,OBL,,Park Milk-Vetch
Astragalus limnocharis,,OBL,,,,,,,OBL,,Cedar-Breaks Milk-Vetch
Astragalus neglectus,,,,FACU,UPL,,FACU,FACU,,,Cooper's Milk-Vetch
Astragalus nutzotinensis,,,,,,,,,,FAC,Nutzotin Milk-Vetch
Astragalus phoenix,,FACU,,,,,,,,,Ash Meadows Milk-Vetch
Astragalus polaris,,,,,,,,,,FAC,Polar Milk-Vetch
Astragalus pycnostachyus,,OBL,,,,,,,OBL,,Marsh Milk-Vetch
Astragalus robbinsii,,FAC,,,FAC,,,UPL,FAC,FAC,Robbins' Milk-Vetch
Astragalus tener,,FACW,,,,,,,FACW,,Alkali Milk-Vetch
Asystasia gangetica,UPL,,UPL,,,FACU,,,,,Chinese-Violet
Athyrium americanum,,FAC,,,FAC,,,,FAC,FAC,American Alpine Lady Fern
Athyrium angustum,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,,Northern Lady Fern
Athyrium asplenioides,FAC,,,FAC,FAC,,FAC,FAC,,,Southern Lady Fern
Athyrium cyclosorum,,FAC,,,FAC,,,,FAC,FAC,Western Lady Fern
Athyrium microphyllum,,,,,,FAC,,,,,Akolea
Atriplex alaskensis,,,,,,,,,FACU,FACW,Alaska Orache
Atriplex amnicola,,FAC,,,,,,,,,Swamp Saltbush
Atriplex argentea,,FAC,,FAC,FAC,,FAC,FAC,FAC,,Silverscale
Atriplex bonnevillensis,,FACW,,,,,,,FACW,,Bonneville Saltbush
Atriplex cordulata,,FAC,,,,,,,FAC,,Heartscale
Atriplex coronata,,FACW,,,,,,,FACW,,Crown Saltbush
Atriplex coulteri,,FACU,,,,,,,,,Coulter's Saltbush
Atriplex depressa,,FAC,,,,,,,FAC,,Rhomboid-Bract Saltbush
Atriplex dioica,FAC,FAC,,FAC,FAC,,FACU,FAC,UPL,,Saline Saltbush
Atriplex fruticulosa,,FACW,,,,,,,FACW,,Ball Saltbush
Atriplex glabriuscula,FACU,,,FACU,FACU,,FACU,FACU,,,Scotland Orache
Atriplex gmelinii,,FACW,,,,,,,FACW,FACW,Gmelin's Saltbush
Atriplex griffithsii,,FACU,,,,,,,,,Griffiths' Saltbush
Atriplex hillmanii,,FACU,,,,,,,FACU,,Hillman's Silverscale
Atriplex hortensis,FAC,FAC,,FAC,FAC,,FAC,FAC,FAC,FACU,Garden Orache
Atriplex lentiformis,,FACU,,,,FAC,,,FAC,,Quailbush
Atriplex leucophylla,,FAC,,,,,,,FAC,,Beach Saltbush
Atriplex minuscula,,FACU,,,,,,,FACU,,Lesser Saltbush
Atriplex mucronata,FAC,FACU,FACU,FAC,FAC,,,FAC,,,Crested Saltbush
Atriplex pacifica,,FACU,,,,,,,,,Davidson's Saltbush
Atriplex parishii,,FAC,,,,,,,,,Brittlescale
Atriplex parryi,,FAC,,,,,,,FACW,,Parry's Saltbush
Atriplex patula,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,FACW,Halberd-Leaf Orache
Atriplex persistens,,FACW,,,,,,,FACW,,Sacramento Saltbush
Atriplex phyllostegia,,FACW,,,,,,,FACW,,Arrow Saltbush
Atriplex polycarpa,,FACU,,,,,,,FACU,,Cattle-Spinach
Atriplex prostrata,FACW,FACW,,FACW,FACW,,FAC,FAC,FAC,,Hastate Orache
Atriplex pusilla,,FAC,,,,,,,FAC,,Smooth Saltbush
Atriplex rosea,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Tumbling Orache
Atriplex semibaccata,FAC,FAC,,,FAC,FAC,,,FACW,,Australian Saltbush
Atriplex serenana,,FAC,,,,,,,FAC,,Bracted Saltbush
Atriplex spinifera,,FAC,,,,,,,FAC,,Spinescale
Atriplex suberecta,,FACU,,,,FACU,,,FACU,,Peregrine Saltbush
Atriplex torreyi,,FACU,,,,,,,FAC,,Torrey's Saltbush
Atriplex tridentata,,FACW,,,FACW,,,,FACW,,Basin Saltbush
Atriplex truncata,,FACU,,FACU,FAC,,FACU,,FACU,,Wedge-Leaf Orache
Atriplex tularensis,,FAC,,,,,,,FAC,,Bakersfield Saltbush
Atriplex vallicola,,FACW,,,,,,,FACW,,Lost Hills Saltbush
Atriplex watsonii,,FACW,,,,,,,,,Watson's Saltbush
Atriplex welshii,,FACU,,,,,,,FACU,,Welsh's Saltbush
Avena sativa,UPL,UPL,UPL,UPL,FACU,FAC,UPL,UPL,UPL,UPL,Oat
Avicennia germinans,OBL,,OBL,,OBL,,,,,,Black Mangrove
Avicennia marina,,OBL,,,,OBL,,,,,Gray Mangrove
Axonopus aureus,,,FAC,,,,,,,,Golden Carpet Grass
Axonopus compressus,FAC,FACW,FAC,FACW,FACW,FAC,,,FAC,,Broad-Leaf Carpet Grass
Axonopus fissifolius,FACW,FAC,FACU,FACW,FAC,FAC,,,,,Narrow-Leaf Carpet Grass
Axonopus furcatus,OBL,,,FACW,OBL,,,,,,Big Carpet Grass
Azolla cristata,,OBL,,,,,OBL,OBL,OBL,,Crested Mosquito Fern
Azolla filiculoides,OBL,OBL,,,,OBL,,,OBL,OBL,Large Mosquito Fern
Azolla microphylla,OBL,OBL,OBL,OBL,OBL,,OBL,OBL,OBL,,Mexican Mosquito Fern
Azolla pinnata,OBL,,,OBL,,,,,,,Asian Mosquito Fern
Baccharis angustifolia,FACW,,,,,,,,,,Saltwater False Willow
Baccharis dioica,FAC,,UPL,,,,,,,,Broombush False Willow
Baccharis glomeruliflora,FACW,,,FAC,,,,,,,Silverling
Baccharis glutinosa,,FACW,,,,,,,OBL,,Douglas' False Willow
Baccharis halimifolia,FAC,,,FACW,FAC,,,FACW,,,Groundseltree
Baccharis neglecta,FAC,FAC,,FAC,FAC,,FAC,,,,Roosevelt-Weed
Baccharis salicifolia,FACW,FAC,,,FACW,,,,FACW,,Mule's-Fat
Baccharis salicina,FAC,FACW,,FAC,FAC,,FAC,,FAC,,Great Plains False Willow
Baccharis sarothroides,,FACU,,,FAC,,,,FACU,,Rosinbush
Baccharis sergiloides,,FACU,,,,,,,FAC,,Squaw's False Willow
Baccharis wrightii,,FACU,,,FACU,,,,FACU,,Wright's False Willow
Bacopa caroliniana,OBL,,,OBL,OBL,,,,,,Blue Water-Hyssop
Bacopa egensis,OBL,,,,,,,,,,Brazilian Water-Hyssop
Bacopa eisenii,,OBL,,,,,,,OBL,,Gila River Water-Hyssop
Bacopa innominata,OBL,,OBL,OBL,,,,,,,Tropical Water-Hyssop
Bacopa monnieri,OBL,OBL,OBL,OBL,OBL,OBL,,,,,Herb-of-Grace
Bacopa repens,OBL,OBL,OBL,,OBL,,,,OBL,,Creeping Water-Hyssop
Bacopa rotundifolia,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Disk Water-Hyssop
Bacopa stricta,,,OBL,,,,,,,,Yerba-de-Culebra
Balduina atropurpurea,FACW,,,FACW,,,,,,,Purple-Disk Honeycomb-Head
Balduina uniflora,FACW,,,FACW,,,,,,,One-Flower Honeycomb-Head
Bambusa bambos,FACU,,,FACU,,,,,,,Giant Thorny Bamboo
Bambusa vulgaris,UPL,FACU,FACU,FACU,,FAC,,,,,Feathery Bamboo
Banara portoricensis,,,FACU,,,,,,,,Puerto Rico Palo-de-Ramon
Baptisia alba,FACU,,,FACU,FACU,,FACU,FACU,,,White Wild Indigo
Baptisia australis,FACU,,,FACU,UPL,,FACU,FACU,,,Blue Wild Indigo
Baptisia megacarpa,FAC,,,FAC,,,,,,,Apalachicola Wild Indigo
Barbarea orthoceras,,FACW,,,OBL,,OBL,OBL,FACW,FACW,American Yellow-Rocket
Barbarea vulgaris,FAC,FAC,,FACU,FACU,,FAC,FAC,FAC,FACU,Garden Yellow-Rocket
Barkleyanthus salicifolius,FAC,FAC,,,FAC,,,,FAC,,Barkley's-Ragwort
Barleria cristata,UPL,,UPL,,,FACU,,,,,Crested Philippine-Violet
Barringtonia asiatica,,,UPL,,,FACU,,,,,Sea Putat
Barringtonia racemosa,,,,,,FACW,,,,,Yu Rui
Bartonia paniculata,OBL,,,OBL,OBL,,OBL,OBL,,,Twining Screwstem
Bartonia verna,OBL,,,,,,,,,,White Screwstem
Bartonia virginica,FACW,,,FACW,,,FACW,FACW,,,Yellow Screwstem
Bassia hirsuta,OBL,OBL,,OBL,,,OBL,OBL,,,Hairy Smotherweed
Bassia hyssopifolia,FACU,FACU,,FACU,FACU,FACU,FACU,FACU,FACU,,Five-Horn Smotherweed
Bassia scoparia,FACU,FAC,,UPL,FACU,,FACU,FACU,FAC,,Mexican-Fireweed
Batis maritima,OBL,OBL,FACW,,OBL,OBL,,,,,Turtleweed
Beckmannia syzigachne,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,American Slough Grass
Beckwithia glacialis,,,,,,,,,,FACW,Glacier Pink Buttercup
Begonia cucullata,FAC,,UPL,,,FACU,,,,,Clubbed Begonia
Begonia decandra,,,FACW,,,,,,,,Native Begonia
Begonia foliosa,,,,,,FACU,,,,,Fuchsia Begonia
